5th August,6th August ,7th August ,8th August ,9th August ,10th August ,11th August ,12/8/2019,13/8/2019,14/8/2019,15/8/2019,16/8/2019,17/8/2019,18/8/2019,19/8/2019,20/8/2019,21/8/2019,22/8/2019,23/8/2019,24/8/2019,25/8/2019,26/8/2019,27/8/2019,28/8/2019,29/8/2019,30/8/2019,31/8/2019
Meat:,Meat:,Meat:,Meat:,Meat:,,Meat:,Meat:,Meat:,Meat:,Meat:,Meat:,,Meat:,Meat:,Meat:,Meat:,Meat:,Meat:,,Meat:,Meat:,Meat:,Meat:,Meat:,Meat:,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Pepper Pork ,Curry Pork ,Braised Pork Belly w Mei Chye ,Sweet & Sour Pork ,Steamed Pork w Salted Fish ,,Claypot Style Dry Bak Ku Tehh w Shredded Cuttlefish,Jiang Zheng Spare Ribs ,Wok Fried Black Pepper Pork ,Dong Po Rou ,Sweet & Sour Pork ,Salted Fish Sliced Pork ,,Sweet & Sour Pork ,Gan Xiang Pork ,Sweet & Sour Pork w Lychee ,Wok Fried Ginger Scallion Pork ,Curry Pork ,Steamed Pork w Salted Fish ,,Stewed Black Bean Sauce Pork Ris ,Mei Chye Kou Rou ,Mongolian Pork,Claypot Style Dry Bak Ku The,Sweet & Sour Pork ,Salted Fish Steamed Pork ,
Szechuan Gong Bao Chicken ,Prawn Paste Chicken ,Taiwanese 3 Cup Chicken ,Crispy Honey Glazed Sesame Chicken ,Herbal Chicken w Black Fungus ,,Nanyang Style Curry Chicken ,Salted Egg Yolk Chicken ,Coffee Glazed Chicken ,Oyster Sauce Chicken w Shiitake ,Plum Sauce Chicken ,Wok Fried Ginger Scallion Chicken ,,Herbal Chicken w Wolfberries ,Mongolian Chicken ,Grilled Teriyaki Chicken,Salted Egg Yolk Chicken ,Crispy Honey Glazed Sesame Chicken ,Herbal Chicken w Black Fungus ,,Nanyang Style Curry Chicken ,Salt & Pepper Chicken ,Plum Sauce Chicken ,Oyster Sauce Chicken w Shiitake ,Malaysia Style Butter Chicken ,Wok Fried Black Pepper Chicken ,
Malaysia Style Creamy Butter Fish ,Buttery Cereal Fish ,Sweet & Sour Fish w Nata De Coco,Hk Style Steamed Fish ,Hk Style Typhoon Prawns ,,Taiwanese Salt & Pepper Fish ,Szechuan Gong Bao Fish ,Tempura Fish w Mayo ,Crispy Assam Fish w Pineapples ,Hk Style Steamed Fish ,Buttery Salted Egg Yolk Fish ,,Cereal Fish ,Wok Fried Ginger Scallion Fish ,Malaysia Style Creamy Butter Fish ,Tom Yum Steamed Fish ,Teochew Style Steamed Fish ,Hk  Style Typhoon Prawns ,,Taiwanese Salt & Pepper Fish ,Szechuan Gong Bao Fish ,Hk Style Steamed Fish ,Buttery Salted Egg Yolk Fish ,Wok Fried Ginger Scallion Fish ,Buttery Cereal Fish ,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,,Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,,Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,,Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,Side Dish:,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Otah Otah ,Sweet & Sour Potatoes with Chicken Frank ,Hashbrown ,Hong Shao Seafood Tofu ,Thai Style Beancurd ,,Cai Poh Egg ,Ngo Hiang Crabmeat Roll ,Stewed Black Bean Sauce Potatoes w Minced Pork ,Vegetarian Spring Rolls ,Seafood Tofu in Black Pepper Sauce ,Thai Style Beancurd ,,Cai Poh Egg ,Sweet & Sour Potatoes with Chicken Frank ,Otah Otah ,Sweet & Sour Potatoes w Chicken Frank ,Tomato Egg ,Thai Style Seafood Beancurd ,,Foo Yong Omelette,Ngo Hiang Crabmeat Roll ,Stewed Black Bean Sauce Potatoes w Minced Pork ,Sweet & Sour Potatoes w Chicken Frank ,Seafood Tofu in Black Pepper Sauce ,Thai Style Beancurd ,
Tomato Egg ,Braised Eggs ,Foo Yong Omelette ,Stewed Potatoes & Minced Meat (black bean sauce) ,Seafood Wanton,,Wu Xiang ,Authentic Ma Po Tofu ,Mini Baked Drumlet,Omelette w Shrimps ,Curry Samosa ,Seafood Wanton,,Kimchi Gyoza ,Crabmeat Wu Xiang,Steamed Egg w Minced Pork ,Cai Poh Omelette ,Stewed Potatoes & Minced Meat (black bean sauce) ,Yakitori Chicken Skewer,,Curry Samosa,Authentic Ma Po Tofu ,Chicken Satay ,Omelette w Shrimps ,Sauteed Leek w Taukwa ,Seafood Wanton,
